,user_ID,name,affiliation
498,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
499,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
500,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
501,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
502,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
503,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
504,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
505,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
506,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
507,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
508,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
509,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
510,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
511,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
512,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
513,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
514,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
515,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
516,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
517,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
518,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
519,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
520,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
521,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
522,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
523,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
524,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
525,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
526,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
527,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
528,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
529,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
530,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
531,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
532,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
533,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
534,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
535,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
536,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
537,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
538,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
